,CWD_Status,Case_ID,Province,Sex,Species
0,Positive,100,Saskatchewan,Male,Mule Deer
1,Positive,101,Saskatchewan,Male,Mule Deer
2,Positive,102,Saskatchewan,Male,Mule Deer
3,Positive,103,Saskatchewan,Female,Mule Deer
4,Positive,104,Saskatchewan,Male,Mule Deer
5,Positive,105,Saskatchewan,Male,Mule Deer
6,Positive,106,Saskatchewan,Female,Mule Deer
7,Positive,107,Saskatchewan,Female,White-tailed Deer
8,Positive,108,Saskatchewan,Male,Mule Deer
9,Positive,109,Saskatchewan,Female,Mule Deer
10,Positive,110,Saskatchewan,Male,Mule Deer
11,Positive,111,Saskatchewan,Male,Mule Deer
12,Positive,112,Saskatchewan,Female,Mule Deer
13,Positive,113,Saskatchewan,Male,Mule Deer
14,Positive,15,Alberta,Female,Mule Deer
15,Positive,16,Alberta,Female,Mule Deer
16,Positive,17,Alberta,Male,Mule Deer
17,Positive,21,Alberta,Female,Mule Deer
18,Positive,22,Alberta,Female,Mule Deer
19,Positive,23,Alberta,Female,Mule Deer
20,Positive,24,Alberta,Female,Mule Deer
21,Positive,25,Alberta,Female,Mule Deer
22,Positive,26,Alberta,Female,Mule Deer
23,Positive,27,Alberta,Male,White-tailed Deer
24,Positive,28,Alberta,Male,Mule Deer
25,Positive,29,Alberta,Male,Mule Deer
26,Positive,114,Saskatchewan,Female,Mule Deer
27,Positive,115,Saskatchewan,Female,Mule Deer
28,Positive,116,Saskatchewan,Female,Mule Deer
29,Positive,117,Saskatchewan,Male,Mule Deer
30,Positive,118,Saskatchewan,Female,Mule Deer
31,Positive,119,Saskatchewan,Female,White-tailed Deer
32,Positive,120,Saskatchewan,Female,White-tailed Deer
33,Positive,121,Saskatchewan,Female,Mule Deer
34,Positive,30,Alberta,Female,Mule Deer
35,Positive,32,Alberta,Male,Mule Deer
36,Positive,34,Alberta,Male,Mule Deer
37,Positive,36,Alberta,Male,White-tailed Deer
38,Positive,45,Alberta,Male,Mule Deer
39,Positive,48,Alberta,Male,Mule Deer
40,Positive,49,Alberta,Female,White-tailed Deer
41,Positive,50,Alberta,Female,Mule Deer
42,Positive,51,Alberta,Female,Mule Deer
43,Positive,52,Alberta,Female,White-tailed Deer
44,Positive,53,Alberta,Male,Mule Deer
45,Positive,122,Saskatchewan,Female,Mule Deer
46,Positive,123,Saskatchewan,Female,Mule Deer
47,Positive,124,Saskatchewan,Female,Mule Deer
48,Positive,125,Saskatchewan,Male,Mule Deer
49,Positive,126,Saskatchewan,Male,Mule Deer
50,Positive,127,Saskatchewan,Male,Mule Deer
51,Positive,128,Saskatchewan,Female,Mule Deer
52,Positive,129,Saskatchewan,Male,Mule Deer
53,Positive,130,Saskatchewan,Female,Mule Deer
54,Positive,131,Saskatchewan,Male,Mule Deer
55,Positive,132,Saskatchewan,Female,Mule Deer
56,Positive,133,Saskatchewan,Female,Mule Deer
57,Positive,134,Saskatchewan,Female,Mule Deer
58,Positive,56,Alberta,Female,Mule Deer
59,Positive,59,Alberta,Male,Mule Deer
60,Positive,60,Alberta,Male,Mule Deer
61,Positive,61,Alberta,Male,Mule Deer
62,Positive,135,Saskatchewan,Female,Mule Deer
63,Positive,136,Saskatchewan,Female,Mule Deer
64,Positive,137,Saskatchewan,Female,Mule Deer
65,Positive,138,Saskatchewan,Female,Mule Deer
66,Positive,139,Saskatchewan,Male,Mule Deer
67,Positive,140,Saskatchewan,Female,Mule Deer
68,Positive,141,Saskatchewan,Female,Mule Deer
69,Positive,65,Alberta,Male,Mule Deer
70,Positive,66,Alberta,Female,Mule Deer
71,Positive,68,Alberta,Male,Mule Deer
72,Positive,69,Alberta,Female,Mule Deer
73,Positive,70,Alberta,Male,Mule Deer
74,Positive,71,Alberta,Male,Mule Deer
75,Positive,72,Alberta,Male,Mule Deer
76,Positive,73,Alberta,Male,White-tailed Deer
77,Positive,74,Alberta,Male,Mule Deer
78,Positive,75,Alberta,Male,Mule Deer
79,Positive,142,Saskatchewan,Female,Mule Deer
80,Positive,143,Saskatchewan,Female,Mule Deer
81,Positive,144,Saskatchewan,Female,Mule Deer
82,Positive,145,Saskatchewan,Female,Mule Deer
83,Positive,146,Saskatchewan,Female,Mule Deer
84,Positive,147,Saskatchewan,Female,Mule Deer
85,Positive,148,Saskatchewan,Female,Mule Deer
86,Positive,149,Saskatchewan,Female,Mule Deer
87,Positive,150,Saskatchewan,Male,Mule Deer
88,Positive,151,Saskatchewan,Male,Mule Deer
89,Positive,76,Alberta,Male,White-tailed Deer
90,Positive,78,Alberta,Male,Mule Deer
91,Positive,79,Alberta,Female,Mule Deer
92,Positive,82,Alberta,Female,Mule Deer
