Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
100,Saskatchewan,Hunter,Undetermined,Undetermined,2000,580000,5850000,Mule Deer,Male,Positive
101,Saskatchewan,Hunter,Undetermined,Undetermined,2001,580000,5830000,Mule Deer,Male,Positive
102,Saskatchewan,Hunter,Undetermined,Undetermined,2002,570000,5830000,Mule Deer,Male,Positive
103,Saskatchewan,Hunter,Undetermined,Undetermined,2003,610000,5950000,Mule Deer,Female,Positive
104,Saskatchewan,Hunter,Undetermined,Undetermined,2004,590000,5840000,Mule Deer,Male,Positive
105,Saskatchewan,Hunter,Undetermined,Undetermined,2004,570000,5840000,Mule Deer,Male,Positive
106,Saskatchewan,Hunter,Undetermined,Undetermined,2004,620000,5930000,Mule Deer,Female,Positive
107,Saskatchewan,Hunter,Undetermined,Undetermined,2004,610000,5950000,White-tailed Deer,Female,Positive
108,Saskatchewan,Hunter,Undetermined,Undetermined,2005,580000,5840000,Mule Deer,Male,Positive
109,Saskatchewan,Hunter,Undetermined,Undetermined,2005,620000,5920000,Mule Deer,Female,Positive
110,Saskatchewan,Hunter,Undetermined,Undetermined,2006,570000,5830000,Mule Deer,Male,Positive
111,Saskatchewan,Hunter,Undetermined,Undetermined,2006,580000,5830000,Mule Deer,Male,Positive
112,Saskatchewan,Hunter,Undetermined,Undetermined,2006,570000,5830000,Mule Deer,Female,Positive
113,Saskatchewan,Hunter,Undetermined,Undetermined,2006,700000,5900000,Mule Deer,Male,Positive
15,Alberta,Hunter,"Thursday, November 02, 2006",11,2006,540000,5850000,Mule Deer,Female,Positive
16,Alberta,Hunter,"Friday, November 17, 2006",11,2006,550000,5830000,Mule Deer,Female,Positive
17,Alberta,Hunter,"Monday, November 13, 2006",11,2006,560000,5840000,Mule Deer,Male,Positive
21,Alberta,HelCull,"Friday, March 16, 2007",3,2007,530000,5850000,Mule Deer,Female,Positive
22,Alberta,HelCull,"Friday, March 16, 2007",3,2007,530000,5850000,Mule Deer,Female,Positive
23,Alberta,HelCull,"Thursday, March 15, 2007",3,2007,540000,5840000,Mule Deer,Female,Positive
24,Alberta,HelCull,"Sunday, March 18, 2007",3,2007,530000,5850000,Mule Deer,Female,Positive
25,Alberta,HelCull,"Sunday, March 18, 2007",3,2007,530000,5850000,Mule Deer,Female,Positive
26,Alberta,HelCull,"Sunday, March 18, 2007",3,2007,530000,5850000,Mule Deer,Female,Positive
27,Alberta,HelCull,"Sunday, March 18, 2007",3,2007,530000,5850000,White-tailed Deer,Male,Positive
28,Alberta,HelCull,"Thursday, March 22, 2007",3,2007,550000,5840000,Mule Deer,Male,Positive
29,Alberta,HelCull,"Sunday, March 18, 2007",3,2007,530000,5850000,Mule Deer,Male,Positive
114,Saskatchewan,Hunter,Undetermined,Undetermined,2007,590000,5810000,Mule Deer,Female,Positive
115,Saskatchewan,Hunter,Undetermined,Undetermined,2007,580000,5830000,Mule Deer,Female,Positive
116,Saskatchewan,Hunter,Undetermined,Undetermined,2007,580000,5840000,Mule Deer,Female,Positive
