,Case_ID,Year,Easting,Northing,CWD_Status,Species,Sex,Province
0,10000,2011,432845,5849162,Negative,White-tailed Deer,Male,Alberta
1,10001,2011,429500,5868700,Negative,White-tailed Deer,Male,Alberta
2,10002,2011,438723,5896022,Negative,White-tailed Deer,Male,Alberta
3,10003,2011,428623,5862820,Negative,Mule Deer,Male,Alberta
4,10004,2011,431230,5882820,Negative,Mule Deer,Female,Alberta
5,10005,2011,444623,5897822,Negative,Mule Deer,Female,Alberta
6,10006,2011,428592,5872368,Negative,Mule Deer,Female,Alberta
7,10007,2011,445655,5870519,Negative,White-tailed Deer,Male,Alberta
8,10008,2011,430831,5881672,Negative,White-tailed Deer,Male,Alberta
9,10009,2011,430200,5867300,Negative,White-tailed Deer,Male,Alberta
10,10010,2011,426423,5857920,Negative,White-tailed Deer,Male,Alberta
11,10011,2011,438723,5896022,Negative,White-tailed Deer,Female,Alberta
12,10012,2011,430131,5867041,Negative,Mule Deer,Male,Alberta
13,10013,2011,469823,5811220,Negative,White-tailed Deer,Male,Alberta
14,10014,2011,655418,5911974,Negative,Mule Deer,Female,Saskatchewan
15,10015,2011,517933,5797196,Negative,Mule Deer,Female,Alberta
16,10016,2011,483198,5858918,Negative,Mule Deer,Female,Alberta
17,10017,2011,496680,5806873,Negative,Mule Deer,Female,Alberta
18,10018,2011,507624,5852417,Negative,Mule Deer,Male,Alberta
19,10019,2011,507624,5852417,Negative,Mule Deer,Female,Alberta
20,10020,2011,646604,5907662,Negative,White-tailed Deer,Male,Saskatchewan
21,10021,2011,553529,5619920,Negative,Mule Deer,Male,Alberta
22,10022,2011,524861,5785903,Negative,White-tailed Deer,Female,Alberta
23,10023,2011,478683,5896985,Negative,Mule Deer,Female,Alberta
24,10024,2011,478683,5896985,Negative,Mule Deer,Male,Alberta
25,10025,2011,564599,5490117,Negative,White-tailed Deer,Male,Saskatchewan
26,10026,2011,495427,5685170,Negative,Mule Deer,Male,Alberta
27,10027,2011,489736,5653943,Negative,White-tailed Deer,Male,Alberta
28,10028,2011,545015,5489893,Negative,Mule Deer,Female,Alberta
29,10029,2011,565792,5645520,Negative,Mule Deer,Male,Saskatchewan
30,10030,2011,500073,5778156,Negative,Mule Deer,Female,Alberta
31,10031,2011,558236,5475411,Negative,Mule Deer,Male,Alberta
32,10032,2011,526486,5785912,Negative,Mule Deer,Male,Alberta
33,10033,2011,570796,5516090,Negative,Mule Deer,Male,Saskatchewan
34,10034,2011,527974,5828415,Negative,Mule Deer,Female,Alberta
35,10035,2011,559946,5467325,Negative,Mule Deer,Male,Alberta
36,10036,2011,521579,5792366,Negative,Mule Deer,Male,Alberta
37,10037,2011,477046,5687233,Negative,Mule Deer,Male,Alberta
38,10038,2011,506969,5685045,Negative,Mule Deer,Male,Alberta
39,10039,2011,537177,5465507,Negative,Mule Deer,Male,Alberta
40,10040,2011,504076,5894475,Negative,White-tailed Deer,Female,Alberta
41,10041,2011,544869,5507729,Negative,Mule Deer,Male,Alberta
42,10042,2011,554903,5483449,Negative,Mule Deer,Male,Alberta
43,10043,2011,540131,5488243,Negative,Mule Deer,Male,Alberta
44,10044,2011,633005,5847833,Negative,White-tailed Deer,Female,Saskatchewan
45,10045,2011,633005,5847833,Negative,White-tailed Deer,Female,Saskatchewan
46,10046,2011,464178,5823201,Negative,White-tailed Deer,Female,Alberta
47,10047,2011,529514,5438464,Negative,Mule Deer,Female,Montana
48,10048,2011,505154,5854883,Negative,White-tailed Deer,Female,Alberta
49,10049,2011,530830,5438810,Negative,Mule Deer,Male,Montana
50,10050,2011,500495,5897495,Negative,White-tailed Deer,Female,Alberta
51,10051,2011,540655,5930176,Negative,Mule Deer,Female,Saskatchewan
52,10052,2011,540655,5930176,Negative,Mule Deer,Female,Saskatchewan
53,10053,2011,540655,5930176,Negative,White-tailed Deer,Female,Saskatchewan
54,10054,2011,540655,5930176,Negative,Mule Deer,Male,Saskatchewan
55,10055,2011,486219,5742517,Negative,Mule Deer,Male,Alberta
56,10056,2011,565792,5645520,Negative,Mule Deer,Male,Saskatchewan
57,10057,2011,430414,5660167,Negative,Mule Deer,Male,Alberta
58,10058,2011,560811,5888204,Negative,Mule Deer,Female,Saskatchewan
59,10059,2011,517846,6041681,Negative,White-tailed Deer,Female,Alberta
60,10060,2011,518338,6022268,Negative,White-tailed Deer,Female,Alberta
61,10061,2011,534582,5790825,Negative,Mule Deer,Male,Alberta
62,10062,2011,525889,5716390,Negative,Mule Deer,Male,Alberta
63,10063,2011,512010,5841250,Negative,Mule Deer,Female,Alberta
64,10064,2011,469600,5790793,Negative,Mule Deer,Female,Alberta
65,10065,2011,544691,5560998,Negative,Mule Deer,Male,Alberta
66,10066,2011,551439,5870499,Negative,White-tailed Deer,Male,Saskatchewan
67,10067,2011,519491,5816631,Negative,White-tailed Deer,Male,Alberta
68,10068,2011,494490,5745467,Negative,Mule Deer,Male,Alberta
69,10069,2011,516249,5811756,Negative,Mule Deer,Male,Alberta
70,10070,2011,522613,5951083,Negative,Mule Deer,Female,Alberta
71,10071,2011,542705,5907429,Negative,Mule Deer,Female,Saskatchewan
72,10072,2011,542705,5907429,Negative,Mule Deer,Male,Saskatchewan
73,10073,2011,492487,5638269,Negative,Mule Deer,Female,Alberta
74,10074,2011,563063,5726434,Negative,Mule Deer,Male,Saskatchewan
75,10075,2011,545946,5792538,Negative,Mule Deer,Female,Alberta
76,10076,2011,478276,5850843,Negative,Mule Deer,Male,Alberta
77,10077,2011,558184,5849503,Negative,Mule Deer,Male,Alberta
78,10078,2011,523210,5907290,Negative,Mule Deer,Female,Alberta
79,10079,2011,518885,5750345,Negative,Mule Deer,Male,Alberta
80,10080,2011,530000,5620000,Negative,Mule Deer,Male,Alberta
81,10081,2011,528544,5534719,Negative,White-tailed Deer,Male,Alberta
82,10082,2011,542877,5771457,Negative,Mule Deer,Female,Alberta
83,10083,2011,542877,5771457,Negative,Mule Deer,Female,Alberta
84,10084,2011,560913,5880105,Negative,White-tailed Deer,Female,Saskatchewan
85,10085,2011,633005,5847833,Negative,White-tailed Deer,Female,Saskatchewan
86,10086,2011,515074,5795574,Negative,Mule Deer,Female,Alberta
87,10087,2011,515717,5842835,Negative,Mule Deer,Female,Alberta
88,10088,2011,531187,5633016,Negative,White-tailed Deer,Female,Alberta
89,10089,2011,539445,5909016,Negative,Mule Deer,Female,Saskatchewan
90,10090,2011,378976,5683769,Negative,Mule Deer,Male,Alberta
91,10091,2011,492487,5638269,Negative,White-tailed Deer,Female,Alberta
92,10092,2011,633407,5848256,Negative,White-tailed Deer,Female,Saskatchewan
93,10093,2011,531187,5633016,Negative,White-tailed Deer,Male,Alberta
94,10094,2011,478714,5695324,Negative,Mule Deer,Male,Alberta
95,10095,2011,545671,5682542,Negative,Mule Deer,Female,Alberta
96,10096,2011,493034,5684220,Negative,Mule Deer,Female,Alberta
97,10097,2011,478276,5850843,Negative,White-tailed Deer,Male,Alberta
98,10098,2011,551014,5889700,Negative,Mule Deer,Female,Saskatchewan
99,10099,2011,515074,5795574,Negative,Mule Deer,Female,Alberta
100,10100,2011,562807,5627685,Negative,Mule Deer,Male,Alberta
101,10101,2011,541925,5954433,Negative,White-tailed Deer,Male,Alberta
102,10102,2011,500460,5671007,Negative,Mule Deer,Female,Alberta
103,10103,2011,502326,5679480,Negative,Mule Deer,Male,Alberta
104,10104,2011,520501,5753584,Negative,Mule Deer,Female,Alberta
105,10105,2011,520506,5751967,Negative,Mule Deer,Female,Alberta
106,10106,2011,541100,5905795,Negative,White-tailed Deer,Female,Saskatchewan
107,10107,2011,555402,5689099,Negative,Mule Deer,Male,Alberta
108,10108,2011,516278,5803661,Negative,Mule Deer,Female,Alberta
109,10109,2011,522303,5964018,Negative,White-tailed Deer,Male,Alberta
110,10110,2011,487136,5649841,Negative,Mule Deer,Male,Alberta
111,10111,2011,487474,5675876,Negative,Mule Deer,Male,Alberta
112,10112,2011,489093,5674249,Negative,Mule Deer,Male,Alberta
113,10113,2011,547007,5714920,Negative,Mule Deer,Male,Alberta
114,10114,2011,536209,5907370,Negative,Mule Deer,Male,Alberta
115,10115,2011,484766,5638727,Negative,Mule Deer,Female,Alberta
116,10116,2011,473968,5829617,Negative,White-tailed Deer,Male,Alberta
117,10117,2011,548365,6048786,Negative,White-tailed Deer,Female,Alberta
118,10118,2011,519554,5800430,Negative,Mule Deer,Female,Alberta
119,10119,2011,513980,5865852,Negative,White-tailed Deer,Male,Alberta
120,10120,2011,442881,5698842,Negative,Mule Deer,Female,Alberta
121,10121,2011,651795,6100965,Negative,White-tailed Deer,Female,Saskatchewan
122,10122,2011,651795,6100965,Negative,White-tailed Deer,Female,Saskatchewan
123,10123,2011,522699,5925328,Negative,White-tailed Deer,Female,Alberta
124,10124,2011,521317,5927398,Negative,White-tailed Deer,Female,Alberta
125,10125,2011,509721,5683966,Negative,Mule Deer,Male,Alberta
126,10126,2011,544475,5815496,Negative,Mule Deer,Female,Alberta
127,10127,2011,529737,5785934,Negative,White-tailed Deer,Male,Alberta
128,10128,2011,558499,5938452,Negative,Mule Deer,Female,Saskatchewan
129,10129,2011,525943,6051432,Negative,White-tailed Deer,Female,Alberta
130,10130,2011,535710,6051498,Negative,White-tailed Deer,Female,Alberta
131,10131,2011,542705,5907429,Negative,Mule Deer,Female,Saskatchewan
132,10132,2011,280000,6022186,Negative,White-tailed Deer,Female,Alberta
133,10133,2011,558705,5685890,Negative,Mule Deer,Male,Saskatchewan
134,10134,2011,557051,5687495,Negative,Mule Deer,Male,Alberta
135,10135,2011,550539,5685818,Negative,Mule Deer,Female,Alberta
136,10136,2011,500495,5897495,Negative,White-tailed Deer,Female,Alberta
137,10137,2011,543948,5813553,Negative,Mule Deer,Male,Alberta
138,10138,2011,561247,5621192,Negative,Mule Deer,Female,Alberta
139,10139,2011,514108,5865376,Negative,Mule Deer,Female,Alberta
140,10140,2011,469000,5844880,Negative,Mule Deer,Male,Alberta
141,10141,2011,514177,5841098,Negative,White-tailed Deer,Female,Alberta
142,10142,2011,528248,5883028,Negative,Mule Deer,Male,Alberta
143,10143,2011,526467,5789152,Negative,Mule Deer,Male,Alberta
144,10144,2011,280000,6022186,Negative,Mule Deer,Male,Alberta
145,10145,2011,523945,5821911,Negative,Mule Deer,Female,Alberta
146,10146,2011,452050,6104431,Negative,White-tailed Deer,Male,Alberta
147,10147,2011,524841,5669448,Negative,Mule Deer,Male,Alberta
148,10148,2011,534600,5905743,Negative,Mule Deer,Female,Alberta
149,10149,2011,526494,5784292,Negative,Mule Deer,Female,Alberta
150,10150,2011,526494,5784292,Negative,Mule Deer,Female,Alberta
151,10151,2011,562393,5776523,Negative,Mule Deer,Female,Saskatchewan
152,10152,2011,515611,5633851,Negative,White-tailed Deer,Male,Alberta
153,10153,2011,453566,6070996,Negative,White-tailed Deer,Male,Alberta
154,10154,2011,495055,5808495,Negative,Mule Deer,Female,Alberta
155,10155,2011,295179,5516938,Negative,Mule Deer,Male,Alberta
156,10156,2011,515611,5633851,Negative,White-tailed Deer,Female,Alberta
157,10157,2011,522285,5854089,Negative,Mule Deer,Female,Alberta
158,10158,2011,519970,5538322,Negative,Mule Deer,Female,Alberta
159,10159,2011,489581,5730897,Negative,Mule Deer,Male,Alberta
160,10160,2011,558067,5859221,Negative,Mule Deer,Male,Saskatchewan
161,10161,2011,535761,5577250,Negative,Mule Deer,Male,Alberta
162,10162,2011,514130,5857294,Negative,White-tailed Deer,Male,Alberta
163,10163,2011,482199,5918803,Negative,Mule Deer,Male,Alberta
164,10164,2011,482199,5918803,Negative,Mule Deer,Female,Alberta
165,10165,2011,493969,5996326,Negative,White-tailed Deer,Female,Alberta
166,10166,2011,475479,5806944,Negative,Mule Deer,Female,Alberta
167,10167,2011,472476,5931767,Negative,Mule Deer,Female,Alberta
168,10168,2011,468526,5855752,Negative,Mule Deer,Male,Alberta
169,10169,2011,468526,5855752,Negative,White-tailed Deer,Male,Alberta
170,10170,2011,459590,5758508,Negative,Mule Deer,Male,Alberta
171,10171,2011,547710,5777976,Negative,Mule Deer,Male,Alberta
172,10172,2011,435641,5723211,Negative,White-tailed Deer,Male,Alberta
173,10173,2011,540809,5781128,Negative,Mule Deer,Male,Alberta
174,10174,2011,529085,5799796,Negative,Mule Deer,Female,Alberta
175,10175,2011,547161,5818440,Negative,Mule Deer,Female,Alberta
176,10176,2011,515580,5805554,Negative,Mule Deer,Female,Alberta
177,10177,2011,491335,5858897,Negative,Mule Deer,Female,Alberta
178,10178,2011,489707,5858901,Negative,Mule Deer,Female,Alberta
179,10179,2011,524866,5902440,Negative,Mule Deer,Male,Alberta
180,10180,2011,499545,5812131,Negative,Mule Deer,Male,Alberta
181,10181,2011,468400,5836276,Negative,Mule Deer,Female,Alberta
182,10182,2011,475598,5831229,Negative,Mule Deer,Male,Alberta
183,10183,2011,475598,5831229,Negative,Mule Deer,Female,Alberta
