id,province,case_id,species,sex,cwd_status
1,Saskatchewan,100,"Mule Deer",Male,Positive
2,Saskatchewan,101,"Mule Deer",Male,Positive
3,Saskatchewan,102,"Mule Deer",Male,Positive
4,Saskatchewan,103,"Mule Deer",Female,Positive
5,Saskatchewan,104,"Mule Deer",Male,Positive
6,Saskatchewan,105,"Mule Deer",Male,Positive
7,Saskatchewan,106,"Mule Deer",Female,Positive
8,Saskatchewan,107,"White-tailed Deer",Female,Positive
9,Saskatchewan,108,"Mule Deer",Male,Positive
10,Saskatchewan,109,"Mule Deer",Female,Positive
11,Saskatchewan,110,"Mule Deer",Male,Positive
12,Saskatchewan,111,"Mule Deer",Male,Positive
13,Saskatchewan,112,"Mule Deer",Female,Positive
14,Saskatchewan,113,"Mule Deer",Male,Positive
15,Alberta,15,"Mule Deer",Female,Positive
16,Alberta,16,"Mule Deer",Female,Positive
17,Alberta,17,"Mule Deer",Male,Positive
18,Alberta,21,"Mule Deer",Female,Positive
19,Alberta,22,"Mule Deer",Female,Positive
20,Alberta,23,"Mule Deer",Female,Positive
21,Alberta,24,"Mule Deer",Female,Positive
22,Alberta,25,"Mule Deer",Female,Positive
23,Alberta,26,"Mule Deer",Female,Positive
24,Alberta,27,"White-tailed Deer",Male,Positive
25,Alberta,28,"Mule Deer",Male,Positive
26,Alberta,29,"Mule Deer",Male,Positive
27,Saskatchewan,114,"Mule Deer",Female,Positive
28,Saskatchewan,115,"Mule Deer",Female,Positive
29,Saskatchewan,116,"Mule Deer",Female,Positive
30,Saskatchewan,117,"Mule Deer",Male,Positive
31,Saskatchewan,118,"Mule Deer",Female,Positive
32,Saskatchewan,119,"White-tailed Deer",Female,Positive
33,Saskatchewan,120,"White-tailed Deer",Female,Positive
34,Saskatchewan,121,"Mule Deer",Female,Positive
35,Alberta,30,"Mule Deer",Female,Positive
36,Alberta,32,"Mule Deer",Male,Positive
37,Alberta,34,"Mule Deer",Male,Positive
38,Alberta,36,"White-tailed Deer",Male,Positive
39,Alberta,45,"Mule Deer",Male,Positive
40,Alberta,48,"Mule Deer",Male,Positive
41,Alberta,49,"White-tailed Deer",Female,Positive
42,Alberta,50,"Mule Deer",Female,Positive
43,Alberta,51,"Mule Deer",Female,Positive
44,Alberta,52,"White-tailed Deer",Female,Positive
45,Alberta,53,"Mule Deer",Male,Positive
46,Saskatchewan,122,"Mule Deer",Female,Positive
47,Saskatchewan,123,"Mule Deer",Female,Positive
48,Saskatchewan,124,"Mule Deer",Female,Positive
49,Saskatchewan,125,"Mule Deer",Male,Positive
50,Saskatchewan,126,"Mule Deer",Male,Positive
51,Saskatchewan,127,"Mule Deer",Male,Positive
52,Saskatchewan,128,"Mule Deer",Female,Positive
53,Saskatchewan,129,"Mule Deer",Male,Positive
54,Saskatchewan,130,"Mule Deer",Female,Positive
55,Saskatchewan,131,"Mule Deer",Male,Positive
56,Saskatchewan,132,"Mule Deer",Female,Positive
57,Saskatchewan,133,"Mule Deer",Female,Positive
58,Saskatchewan,134,"Mule Deer",Female,Positive
59,Alberta,56,"Mule Deer",Female,Positive
60,Alberta,59,"Mule Deer",Male,Positive
61,Alberta,60,"Mule Deer",Male,Positive
62,Alberta,61,"Mule Deer",Male,Positive
63,Saskatchewan,135,"Mule Deer",Female,Positive
64,Saskatchewan,136,"Mule Deer",Female,Positive
65,Saskatchewan,137,"Mule Deer",Female,Positive
66,Saskatchewan,138,"Mule Deer",Female,Positive
67,Saskatchewan,139,"Mule Deer",Male,Positive
68,Saskatchewan,140,"Mule Deer",Female,Positive
69,Saskatchewan,141,"Mule Deer",Female,Positive
70,Alberta,65,"Mule Deer",Male,Positive
71,Alberta,66,"Mule Deer",Female,Positive
72,Alberta,68,"Mule Deer",Male,Positive
73,Alberta,69,"Mule Deer",Female,Positive
74,Alberta,70,"Mule Deer",Male,Positive
75,Alberta,71,"Mule Deer",Male,Positive
76,Alberta,72,"Mule Deer",Male,Positive
77,Alberta,73,"White-tailed Deer",Male,Positive
78,Alberta,74,"Mule Deer",Male,Positive
79,Alberta,75,"Mule Deer",Male,Positive
80,Saskatchewan,142,"Mule Deer",Female,Positive
81,Saskatchewan,143,"Mule Deer",Female,Positive
82,Saskatchewan,144,"Mule Deer",Female,Positive
83,Saskatchewan,145,"Mule Deer",Female,Positive
84,Saskatchewan,146,"Mule Deer",Female,Positive
85,Saskatchewan,147,"Mule Deer",Female,Positive
86,Saskatchewan,148,"Mule Deer",Female,Positive
87,Saskatchewan,149,"Mule Deer",Female,Positive
